"sim_calib_id","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
68,6,6,"1-H","2-M","3-M","4-M"
69,6,6,"1-H","2-M","3-M","4-H"
70,6,6,"1-H","2-M","3-H","4-L"
71,6,6,"1-H","2-M","3-H","4-M"
72,6,6,"1-H","2-M","3-H","4-H"
73,6,6,"1-H","2-H","3-L","4-L"
74,6,6,"1-H","2-H","3-L","4-M"
75,6,6,"1-H","2-H","3-L","4-H"
76,6,6,"1-H","2-H","3-M","4-L"
77,6,6,"1-H","2-H","3-M","4-M"
78,6,6,"1-H","2-H","3-M","4-H"
79,6,6,"1-H","2-H","3-H","4-L"
80,6,6,"1-H","2-H","3-H","4-M"
81,6,6,"1-H","2-H","3-H","4-H"
82,6,6.4,"1-L","2-L","3-L","4-L"
83,6,6.4,"1-L","2-L","3-L","4-M"
84,6,6.4,"1-L","2-L","3-L","4-H"
85,6,6.4,"1-L","2-L","3-M","4-L"
86,6,6.4,"1-L","2-L","3-M","4-M"
87,6,6.4,"1-L","2-L","3-M","4-H"
88,6,6.4,"1-L","2-L","3-H","4-L"
89,6,6.4,"1-L","2-L","3-H","4-M"
90,6,6.4,"1-L","2-L","3-H","4-H"
91,6,6.4,"1-L","2-M","3-L","4-L"
92,6,6.4,"1-L","2-M","3-L","4-M"
93,6,6.4,"1-L","2-M","3-L","4-H"
94,6,6.4,"1-L","2-M","3-M","4-L"
95,6,6.4,"1-L","2-M","3-M","4-M"
96,6,6.4,"1-L","2-M","3-M","4-H"
97,6,6.4,"1-L","2-M","3-H","4-L"
98,6,6.4,"1-L","2-M","3-H","4-M"
99,6,6.4,"1-L","2-M","3-H","4-H"
100,6,6.4,"1-L","2-H","3-L","4-L"
101,6,6.4,"1-L","2-H","3-L","4-M"
102,6,6.4,"1-L","2-H","3-L","4-H"
103,6,6.4,"1-L","2-H","3-M","4-L"
104,6,6.4,"1-L","2-H","3-M","4-M"
105,6,6.4,"1-L","2-H","3-M","4-H"
106,6,6.4,"1-L","2-H","3-H","4-L"
107,6,6.4,"1-L","2-H","3-H","4-M"
108,6,6.4,"1-L","2-H","3-H","4-H"
109,6,6.4,"1-M","2-L","3-L","4-L"
110,6,6.4,"1-M","2-L","3-L","4-M"
111,6,6.4,"1-M","2-L","3-L","4-H"
112,6,6.4,"1-M","2-L","3-M","4-L"
113,6,6.4,"1-M","2-L","3-M","4-M"
114,6,6.4,"1-M","2-L","3-M","4-H"
115,6,6.4,"1-M","2-L","3-H","4-L"
116,6,6.4,"1-M","2-L","3-H","4-M"
117,6,6.4,"1-M","2-L","3-H","4-H"
118,6,6.4,"1-M","2-M","3-L","4-L"
119,6,6.4,"1-M","2-M","3-L","4-M"
120,6,6.4,"1-M","2-M","3-L","4-H"
121,6,6.4,"1-M","2-M","3-M","4-L"
122,6,6.4,"1-M","2-M","3-M","4-M"
123,6,6.4,"1-M","2-M","3-M","4-H"
124,6,6.4,"1-M","2-M","3-H","4-L"
125,6,6.4,"1-M","2-M","3-H","4-M"
126,6,6.4,"1-M","2-M","3-H","4-H"
127,6,6.4,"1-M","2-H","3-L","4-L"
128,6,6.4,"1-M","2-H","3-L","4-M"
129,6,6.4,"1-M","2-H","3-L","4-H"
130,6,6.4,"1-M","2-H","3-M","4-L"
131,6,6.4,"1-M","2-H","3-M","4-M"
132,6,6.4,"1-M","2-H","3-M","4-H"
133,6,6.4,"1-M","2-H","3-H","4-L"
134,6,6.4,"1-M","2-H","3-H","4-M"
135,6,6.4,"1-M","2-H","3-H","4-H"
136,6,6.4,"1-H","2-L","3-L","4-L"
137,6,6.4,"1-H","2-L","3-L","4-M"
138,6,6.4,"1-H","2-L","3-L","4-H"
139,6,6.4,"1-H","2-L","3-M","4-L"
140,6,6.4,"1-H","2-L","3-M","4-M"
141,6,6.4,"1-H","2-L","3-M","4-H"
142,6,6.4,"1-H","2-L","3-H","4-L"
143,6,6.4,"1-H","2-L","3-H","4-M"
144,6,6.4,"1-H","2-L","3-H","4-H"
145,6,6.4,"1-H","2-M","3-L","4-L"
146,6,6.4,"1-H","2-M","3-L","4-M"
147,6,6.4,"1-H","2-M","3-L","4-H"
148,6,6.4,"1-H","2-M","3-M","4-L"
149,6,6.4,"1-H","2-M","3-M","4-M"
150,6,6.4,"1-H","2-M","3-M","4-H"
151,6,6.4,"1-H","2-M","3-H","4-L"
152,6,6.4,"1-H","2-M","3-H","4-M"
153,6,6.4,"1-H","2-M","3-H","4-H"
154,6,6.4,"1-H","2-H","3-L","4-L"
155,6,6.4,"1-H","2-H","3-L","4-M"
156,6,6.4,"1-H","2-H","3-L","4-H"
157,6,6.4,"1-H","2-H","3-M","4-L"
158,6,6.4,"1-H","2-H","3-M","4-M"
159,6,6.4,"1-H","2-H","3-M","4-H"
160,6,6.4,"1-H","2-H","3-H","4-L"
161,6,6.4,"1-H","2-H","3-H","4-M"
162,6,6.4,"1-H","2-H","3-H","4-H"
163,6,6.8,"1-L","2-L","3-L","4-L"
164,6,6.8,"1-L","2-L","3-L","4-M"
165,6,6.8,"1-L","2-L","3-L","4-H"
166,6,6.8,"1-L","2-L","3-M","4-L"
167,6,6.8,"1-L","2-L","3-M","4-M"
168,6,6.8,"1-L","2-L","3-M","4-H"
169,6,6.8,"1-L","2-L","3-H","4-L"
170,6,6.8,"1-L","2-L","3-H","4-M"
171,6,6.8,"1-L","2-L","3-H","4-H"
172,6,6.8,"1-L","2-M","3-L","4-L"
173,6,6.8,"1-L","2-M","3-L","4-M"
174,6,6.8,"1-L","2-M","3-L","4-H"
175,6,6.8,"1-L","2-M","3-M","4-L"
176,6,6.8,"1-L","2-M","3-M","4-M"
177,6,6.8,"1-L","2-M","3-M","4-H"
178,6,6.8,"1-L","2-M","3-H","4-L"
179,6,6.8,"1-L","2-M","3-H","4-M"
180,6,6.8,"1-L","2-M","3-H","4-H"
181,6,6.8,"1-L","2-H","3-L","4-L"
182,6,6.8,"1-L","2-H","3-L","4-M"
183,6,6.8,"1-L","2-H","3-L","4-H"
184,6,6.8,"1-L","2-H","3-M","4-L"
185,6,6.8,"1-L","2-H","3-M","4-M"
186,6,6.8,"1-L","2-H","3-M","4-H"
187,6,6.8,"1-L","2-H","3-H","4-L"
188,6,6.8,"1-L","2-H","3-H","4-M"
189,6,6.8,"1-L","2-H","3-H","4-H"
190,6,6.8,"1-M","2-L","3-L","4-L"
191,6,6.8,"1-M","2-L","3-L","4-M"
192,6,6.8,"1-M","2-L","3-L","4-H"
193,6,6.8,"1-M","2-L","3-M","4-L"
194,6,6.8,"1-M","2-L","3-M","4-M"
195,6,6.8,"1-M","2-L","3-M","4-H"
196,6,6.8,"1-M","2-L","3-H","4-L"
197,6,6.8,"1-M","2-L","3-H","4-M"
198,6,6.8,"1-M","2-L","3-H","4-H"
199,6,6.8,"1-M","2-M","3-L","4-L"
200,6,6.8,"1-M","2-M","3-L","4-M"
201,6,6.8,"1-M","2-M","3-L","4-H"
202,6,6.8,"1-M","2-M","3-M","4-L"
203,6,6.8,"1-M","2-M","3-M","4-M"
204,6,6.8,"1-M","2-M","3-M","4-H"
205,6,6.8,"1-M","2-M","3-H","4-L"
206,6,6.8,"1-M","2-M","3-H","4-M"
207,6,6.8,"1-M","2-M","3-H","4-H"
208,6,6.8,"1-M","2-H","3-L","4-L"
209,6,6.8,"1-M","2-H","3-L","4-M"
210,6,6.8,"1-M","2-H","3-L","4-H"
211,6,6.8,"1-M","2-H","3-M","4-L"
212,6,6.8,"1-M","2-H","3-M","4-M"
213,6,6.8,"1-M","2-H","3-M","4-H"
214,6,6.8,"1-M","2-H","3-H","4-L"
215,6,6.8,"1-M","2-H","3-H","4-M"
216,6,6.8,"1-M","2-H","3-H","4-H"
217,6,6.8,"1-H","2-L","3-L","4-L"
218,6,6.8,"1-H","2-L","3-L","4-M"
219,6,6.8,"1-H","2-L","3-L","4-H"
220,6,6.8,"1-H","2-L","3-M","4-L"
221,6,6.8,"1-H","2-L","3-M","4-M"
222,6,6.8,"1-H","2-L","3-M","4-H"
223,6,6.8,"1-H","2-L","3-H","4-L"
224,6,6.8,"1-H","2-L","3-H","4-M"
225,6,6.8,"1-H","2-L","3-H","4-H"
226,6,6.8,"1-H","2-M","3-L","4-L"
227,6,6.8,"1-H","2-M","3-L","4-M"
228,6,6.8,"1-H","2-M","3-L","4-H"
229,6,6.8,"1-H","2-M","3-M","4-L"
230,6,6.8,"1-H","2-M","3-M","4-M"
231,6,6.8,"1-H","2-M","3-M","4-H"
232,6,6.8,"1-H","2-M","3-H","4-L"
233,6,6.8,"1-H","2-M","3-H","4-M"
234,6,6.8,"1-H","2-M","3-H","4-H"
235,6,6.8,"1-H","2-H","3-L","4-L"
236,6,6.8,"1-H","2-H","3-L","4-M"
237,6,6.8,"1-H","2-H","3-L","4-H"
238,6,6.8,"1-H","2-H","3-M","4-L"
239,6,6.8,"1-H","2-H","3-M","4-M"
240,6,6.8,"1-H","2-H","3-M","4-H"
241,6,6.8,"1-H","2-H","3-H","4-L"
242,6,6.8,"1-H","2-H","3-H","4-M"
243,6,6.8,"1-H","2-H","3-H","4-H"
244,6,7.2,"1-L","2-L","3-L","4-L"
245,6,7.2,"1-L","2-L","3-L","4-M"
246,6,7.2,"1-L","2-L","3-L","4-H"
247,6,7.2,"1-L","2-L","3-M","4-L"
248,6,7.2,"1-L","2-L","3-M","4-M"
249,6,7.2,"1-L","2-L","3-M","4-H"
250,6,7.2,"1-L","2-L","3-H","4-L"
251,6,7.2,"1-L","2-L","3-H","4-M"
252,6,7.2,"1-L","2-L","3-H","4-H"
253,6,7.2,"1-L","2-M","3-L","4-L"
254,6,7.2,"1-L","2-M","3-L","4-M"
255,6,7.2,"1-L","2-M","3-L","4-H"
256,6,7.2,"1-L","2-M","3-M","4-L"
257,6,7.2,"1-L","2-M","3-M","4-M"
258,6,7.2,"1-L","2-M","3-M","4-H"
259,6,7.2,"1-L","2-M","3-H","4-L"
260,6,7.2,"1-L","2-M","3-H","4-M"
261,6,7.2,"1-L","2-M","3-H","4-H"
262,6,7.2,"1-L","2-H","3-L","4-L"
263,6,7.2,"1-L","2-H","3-L","4-M"
264,6,7.2,"1-L","2-H","3-L","4-H"
265,6,7.2,"1-L","2-H","3-M","4-L"
266,6,7.2,"1-L","2-H","3-M","4-M"
267,6,7.2,"1-L","2-H","3-M","4-H"
268,6,7.2,"1-L","2-H","3-H","4-L"
269,6,7.2,"1-L","2-H","3-H","4-M"
270,6,7.2,"1-L","2-H","3-H","4-H"
271,6,7.2,"1-M","2-L","3-L","4-L"
272,6,7.2,"1-M","2-L","3-L","4-M"
273,6,7.2,"1-M","2-L","3-L","4-H"
274,6,7.2,"1-M","2-L","3-M","4-L"
275,6,7.2,"1-M","2-L","3-M","4-M"
276,6,7.2,"1-M","2-L","3-M","4-H"
277,6,7.2,"1-M","2-L","3-H","4-L"
278,6,7.2,"1-M","2-L","3-H","4-M"
279,6,7.2,"1-M","2-L","3-H","4-H"
280,6,7.2,"1-M","2-M","3-L","4-L"
281,6,7.2,"1-M","2-M","3-L","4-M"
282,6,7.2,"1-M","2-M","3-L","4-H"
283,6,7.2,"1-M","2-M","3-M","4-L"
284,6,7.2,"1-M","2-M","3-M","4-M"
285,6,7.2,"1-M","2-M","3-M","4-H"
286,6,7.2,"1-M","2-M","3-H","4-L"
287,6,7.2,"1-M","2-M","3-H","4-M"
288,6,7.2,"1-M","2-M","3-H","4-H"
289,6,7.2,"1-M","2-H","3-L","4-L"
290,6,7.2,"1-M","2-H","3-L","4-M"
291,6,7.2,"1-M","2-H","3-L","4-H"
292,6,7.2,"1-M","2-H","3-M","4-L"
293,6,7.2,"1-M","2-H","3-M","4-M"
294,6,7.2,"1-M","2-H","3-M","4-H"
295,6,7.2,"1-M","2-H","3-H","4-L"
296,6,7.2,"1-M","2-H","3-H","4-M"
297,6,7.2,"1-M","2-H","3-H","4-H"
298,6,7.2,"1-H","2-L","3-L","4-L"
299,6,7.2,"1-H","2-L","3-L","4-M"
300,6,7.2,"1-H","2-L","3-L","4-H"
301,6,7.2,"1-H","2-L","3-M","4-L"
302,6,7.2,"1-H","2-L","3-M","4-M"
303,6,7.2,"1-H","2-L","3-M","4-H"
304,6,7.2,"1-H","2-L","3-H","4-L"
305,6,7.2,"1-H","2-L","3-H","4-M"
306,6,7.2,"1-H","2-L","3-H","4-H"
307,6,7.2,"1-H","2-M","3-L","4-L"
308,6,7.2,"1-H","2-M","3-L","4-M"
309,6,7.2,"1-H","2-M","3-L","4-H"
310,6,7.2,"1-H","2-M","3-M","4-L"
311,6,7.2,"1-H","2-M","3-M","4-M"
312,6,7.2,"1-H","2-M","3-M","4-H"
313,6,7.2,"1-H","2-M","3-H","4-L"
314,6,7.2,"1-H","2-M","3-H","4-M"
315,6,7.2,"1-H","2-M","3-H","4-H"
316,6,7.2,"1-H","2-H","3-L","4-L"
317,6,7.2,"1-H","2-H","3-L","4-M"
318,6,7.2,"1-H","2-H","3-L","4-H"
319,6,7.2,"1-H","2-H","3-M","4-L"
320,6,7.2,"1-H","2-H","3-M","4-M"
321,6,7.2,"1-H","2-H","3-M","4-H"
322,6,7.2,"1-H","2-H","3-H","4-L"
323,6,7.2,"1-H","2-H","3-H","4-M"
324,6,7.2,"1-H","2-H","3-H","4-H"
325,6,7.6,"1-L","2-L","3-L","4-L"
326,6,7.6,"1-L","2-L","3-L","4-M"
327,6,7.6,"1-L","2-L","3-L","4-H"
328,6,7.6,"1-L","2-L","3-M","4-L"
329,6,7.6,"1-L","2-L","3-M","4-M"
330,6,7.6,"1-L","2-L","3-M","4-H"
331,6,7.6,"1-L","2-L","3-H","4-L"
332,6,7.6,"1-L","2-L","3-H","4-M"
333,6,7.6,"1-L","2-L","3-H","4-H"
334,6,7.6,"1-L","2-M","3-L","4-L"
335,6,7.6,"1-L","2-M","3-L","4-M"
336,6,7.6,"1-L","2-M","3-L","4-H"
337,6,7.6,"1-L","2-M","3-M","4-L"
338,6,7.6,"1-L","2-M","3-M","4-M"
339,6,7.6,"1-L","2-M","3-M","4-H"
340,6,7.6,"1-L","2-M","3-H","4-L"
341,6,7.6,"1-L","2-M","3-H","4-M"
342,6,7.6,"1-L","2-M","3-H","4-H"
343,6,7.6,"1-L","2-H","3-L","4-L"
344,6,7.6,"1-L","2-H","3-L","4-M"
345,6,7.6,"1-L","2-H","3-L","4-H"
346,6,7.6,"1-L","2-H","3-M","4-L"
347,6,7.6,"1-L","2-H","3-M","4-M"
348,6,7.6,"1-L","2-H","3-M","4-H"
349,6,7.6,"1-L","2-H","3-H","4-L"
350,6,7.6,"1-L","2-H","3-H","4-M"
351,6,7.6,"1-L","2-H","3-H","4-H"
352,6,7.6,"1-M","2-L","3-L","4-L"
353,6,7.6,"1-M","2-L","3-L","4-M"
354,6,7.6,"1-M","2-L","3-L","4-H"
355,6,7.6,"1-M","2-L","3-M","4-L"
356,6,7.6,"1-M","2-L","3-M","4-M"
357,6,7.6,"1-M","2-L","3-M","4-H"
358,6,7.6,"1-M","2-L","3-H","4-L"
359,6,7.6,"1-M","2-L","3-H","4-M"
360,6,7.6,"1-M","2-L","3-H","4-H"
361,6,7.6,"1-M","2-M","3-L","4-L"
362,6,7.6,"1-M","2-M","3-L","4-M"
363,6,7.6,"1-M","2-M","3-L","4-H"
364,6,7.6,"1-M","2-M","3-M","4-L"
365,6,7.6,"1-M","2-M","3-M","4-M"
366,6,7.6,"1-M","2-M","3-M","4-H"
367,6,7.6,"1-M","2-M","3-H","4-L"
368,6,7.6,"1-M","2-M","3-H","4-M"
369,6,7.6,"1-M","2-M","3-H","4-H"
370,6,7.6,"1-M","2-H","3-L","4-L"
371,6,7.6,"1-M","2-H","3-L","4-M"
372,6,7.6,"1-M","2-H","3-L","4-H"
373,6,7.6,"1-M","2-H","3-M","4-L"
374,6,7.6,"1-M","2-H","3-M","4-M"
375,6,7.6,"1-M","2-H","3-M","4-H"
376,6,7.6,"1-M","2-H","3-H","4-L"
377,6,7.6,"1-M","2-H","3-H","4-M"
378,6,7.6,"1-M","2-H","3-H","4-H"
379,6,7.6,"1-H","2-L","3-L","4-L"
380,6,7.6,"1-H","2-L","3-L","4-M"
381,6,7.6,"1-H","2-L","3-L","4-H"
382,6,7.6,"1-H","2-L","3-M","4-L"
383,6,7.6,"1-H","2-L","3-M","4-M"
384,6,7.6,"1-H","2-L","3-M","4-H"
385,6,7.6,"1-H","2-L","3-H","4-L"
386,6,7.6,"1-H","2-L","3-H","4-M"
387,6,7.6,"1-H","2-L","3-H","4-H"
388,6,7.6,"1-H","2-M","3-L","4-L"
389,6,7.6,"1-H","2-M","3-L","4-M"
390,6,7.6,"1-H","2-M","3-L","4-H"
391,6,7.6,"1-H","2-M","3-M","4-L"
392,6,7.6,"1-H","2-M","3-M","4-M"
393,6,7.6,"1-H","2-M","3-M","4-H"
394,6,7.6,"1-H","2-M","3-H","4-L"
395,6,7.6,"1-H","2-M","3-H","4-M"
396,6,7.6,"1-H","2-M","3-H","4-H"
397,6,7.6,"1-H","2-H","3-L","4-L"
398,6,7.6,"1-H","2-H","3-L","4-M"
399,6,7.6,"1-H","2-H","3-L","4-H"
400,6,7.6,"1-H","2-H","3-M","4-L"
401,6,7.6,"1-H","2-H","3-M","4-M"
402,6,7.6,"1-H","2-H","3-M","4-H"
403,6,7.6,"1-H","2-H","3-H","4-L"
404,6,7.6,"1-H","2-H","3-H","4-M"
405,6,7.6,"1-H","2-H","3-H","4-H"
406,6,8,"1-L","2-L","3-L","4-L"
407,6,8,"1-L","2-L","3-L","4-M"
408,6,8,"1-L","2-L","3-L","4-H"
409,6,8,"1-L","2-L","3-M","4-L"
410,6,8,"1-L","2-L","3-M","4-M"
411,6,8,"1-L","2-L","3-M","4-H"
412,6,8,"1-L","2-L","3-H","4-L"
413,6,8,"1-L","2-L","3-H","4-M"
414,6,8,"1-L","2-L","3-H","4-H"
415,6,8,"1-L","2-M","3-L","4-L"
416,6,8,"1-L","2-M","3-L","4-M"
417,6,8,"1-L","2-M","3-L","4-H"
418,6,8,"1-L","2-M","3-M","4-L"
419,6,8,"1-L","2-M","3-M","4-M"
420,6,8,"1-L","2-M","3-M","4-H"
421,6,8,"1-L","2-M","3-H","4-L"
422,6,8,"1-L","2-M","3-H","4-M"
423,6,8,"1-L","2-M","3-H","4-H"
424,6,8,"1-L","2-H","3-L","4-L"
425,6,8,"1-L","2-H","3-L","4-M"
426,6,8,"1-L","2-H","3-L","4-H"
427,6,8,"1-L","2-H","3-M","4-L"
428,6,8,"1-L","2-H","3-M","4-M"
429,6,8,"1-L","2-H","3-M","4-H"
430,6,8,"1-L","2-H","3-H","4-L"
431,6,8,"1-L","2-H","3-H","4-M"
432,6,8,"1-L","2-H","3-H","4-H"
433,6,8,"1-M","2-L","3-L","4-L"
434,6,8,"1-M","2-L","3-L","4-M"
435,6,8,"1-M","2-L","3-L","4-H"
436,6,8,"1-M","2-L","3-M","4-L"
437,6,8,"1-M","2-L","3-M","4-M"
438,6,8,"1-M","2-L","3-M","4-H"
439,6,8,"1-M","2-L","3-H","4-L"
440,6,8,"1-M","2-L","3-H","4-M"
441,6,8,"1-M","2-L","3-H","4-H"
442,6,8,"1-M","2-M","3-L","4-L"
443,6,8,"1-M","2-M","3-L","4-M"
444,6,8,"1-M","2-M","3-L","4-H"
445,6,8,"1-M","2-M","3-M","4-L"
446,6,8,"1-M","2-M","3-M","4-M"
447,6,8,"1-M","2-M","3-M","4-H"
448,6,8,"1-M","2-M","3-H","4-L"
449,6,8,"1-M","2-M","3-H","4-M"
450,6,8,"1-M","2-M","3-H","4-H"
451,6,8,"1-M","2-H","3-L","4-L"
452,6,8,"1-M","2-H","3-L","4-M"
453,6,8,"1-M","2-H","3-L","4-H"
454,6,8,"1-M","2-H","3-M","4-L"
455,6,8,"1-M","2-H","3-M","4-M"
456,6,8,"1-M","2-H","3-M","4-H"
457,6,8,"1-M","2-H","3-H","4-L"
458,6,8,"1-M","2-H","3-H","4-M"
459,6,8,"1-M","2-H","3-H","4-H"
460,6,8,"1-H","2-L","3-L","4-L"
461,6,8,"1-H","2-L","3-L","4-M"
462,6,8,"1-H","2-L","3-L","4-H"
463,6,8,"1-H","2-L","3-M","4-L"
464,6,8,"1-H","2-L","3-M","4-M"
465,6,8,"1-H","2-L","3-M","4-H"
466,6,8,"1-H","2-L","3-H","4-L"
467,6,8,"1-H","2-L","3-H","4-M"
468,6,8,"1-H","2-L","3-H","4-H"
469,6,8,"1-H","2-M","3-L","4-L"
470,6,8,"1-H","2-M","3-L","4-M"
471,6,8,"1-H","2-M","3-L","4-H"
472,6,8,"1-H","2-M","3-M","4-L"
473,6,8,"1-H","2-M","3-M","4-M"
474,6,8,"1-H","2-M","3-M","4-H"
475,6,8,"1-H","2-M","3-H","4-L"
476,6,8,"1-H","2-M","3-H","4-M"
477,6,8,"1-H","2-M","3-H","4-H"
478,6,8,"1-H","2-H","3-L","4-L"
479,6,8,"1-H","2-H","3-L","4-M"
480,6,8,"1-H","2-H","3-L","4-H"
481,6,8,"1-H","2-H","3-M","4-L"
482,6,8,"1-H","2-H","3-M","4-M"
483,6,8,"1-H","2-H","3-M","4-H"
484,6,8,"1-H","2-H","3-H","4-L"
485,6,8,"1-H","2-H","3-H","4-M"
486,6,8,"1-H","2-H","3-H","4-H"
487,6.4,6,"1-L","2-L","3-L","4-L"
488,6.4,6,"1-L","2-L","3-L","4-M"
489,6.4,6,"1-L","2-L","3-L","4-H"
490,6.4,6,"1-L","2-L","3-M","4-L"
491,6.4,6,"1-L","2-L","3-M","4-M"
492,6.4,6,"1-L","2-L","3-M","4-H"
493,6.4,6,"1-L","2-L","3-H","4-L"
494,6.4,6,"1-L","2-L","3-H","4-M"
495,6.4,6,"1-L","2-L","3-H","4-H"
496,6.4,6,"1-L","2-M","3-L","4-L"
497,6.4,6,"1-L","2-M","3-L","4-M"
498,6.4,6,"1-L","2-M","3-L","4-H"
499,6.4,6,"1-L","2-M","3-M","4-L"
500,6.4,6,"1-L","2-M","3-M","4-M"
501,6.4,6,"1-L","2-M","3-M","4-H"
502,6.4,6,"1-L","2-M","3-H","4-L"
503,6.4,6,"1-L","2-M","3-H","4-M"
504,6.4,6,"1-L","2-M","3-H","4-H"
505,6.4,6,"1-L","2-H","3-L","4-L"
506,6.4,6,"1-L","2-H","3-L","4-M"
507,6.4,6,"1-L","2-H","3-L","4-H"
508,6.4,6,"1-L","2-H","3-M","4-L"
509,6.4,6,"1-L","2-H","3-M","4-M"
510,6.4,6,"1-L","2-H","3-M","4-H"
511,6.4,6,"1-L","2-H","3-H","4-L"
512,6.4,6,"1-L","2-H","3-H","4-M"
513,6.4,6,"1-L","2-H","3-H","4-H"
514,6.4,6,"1-M","2-L","3-L","4-L"
515,6.4,6,"1-M","2-L","3-L","4-M"
516,6.4,6,"1-M","2-L","3-L","4-H"
517,6.4,6,"1-M","2-L","3-M","4-L"
518,6.4,6,"1-M","2-L","3-M","4-M"
519,6.4,6,"1-M","2-L","3-M","4-H"
520,6.4,6,"1-M","2-L","3-H","4-L"
521,6.4,6,"1-M","2-L","3-H","4-M"
522,6.4,6,"1-M","2-L","3-H","4-H"
523,6.4,6,"1-M","2-M","3-L","4-L"
524,6.4,6,"1-M","2-M","3-L","4-M"
525,6.4,6,"1-M","2-M","3-L","4-H"
526,6.4,6,"1-M","2-M","3-M","4-L"
527,6.4,6,"1-M","2-M","3-M","4-M"
528,6.4,6,"1-M","2-M","3-M","4-H"
529,6.4,6,"1-M","2-M","3-H","4-L"
530,6.4,6,"1-M","2-M","3-H","4-M"
531,6.4,6,"1-M","2-M","3-H","4-H"
532,6.4,6,"1-M","2-H","3-L","4-L"
533,6.4,6,"1-M","2-H","3-L","4-M"
534,6.4,6,"1-M","2-H","3-L","4-H"
535,6.4,6,"1-M","2-H","3-M","4-L"
536,6.4,6,"1-M","2-H","3-M","4-M"
537,6.4,6,"1-M","2-H","3-M","4-H"
538,6.4,6,"1-M","2-H","3-H","4-L"
539,6.4,6,"1-M","2-H","3-H","4-M"
540,6.4,6,"1-M","2-H","3-H","4-H"
541,6.4,6,"1-H","2-L","3-L","4-L"
542,6.4,6,"1-H","2-L","3-L","4-M"
543,6.4,6,"1-H","2-L","3-L","4-H"
544,6.4,6,"1-H","2-L","3-M","4-L"
545,6.4,6,"1-H","2-L","3-M","4-M"
546,6.4,6,"1-H","2-L","3-M","4-H"
