"","sim_calib_id","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
"38",38,16,16.8,"1-L","2-H","3-L","4-H"
"39",39,16,16.8,"1-L","2-H","3-H","4-L"
"40",40,16,16.8,"1-L","2-H","3-H","4-H"
"41",41,16,16.8,"1-H","2-L","3-L","4-L"
"42",42,16,16.8,"1-H","2-L","3-L","4-H"
"43",43,16,16.8,"1-H","2-L","3-H","4-L"
"44",44,16,16.8,"1-H","2-L","3-H","4-H"
"45",45,16,16.8,"1-H","2-H","3-L","4-L"
"46",46,16,16.8,"1-H","2-H","3-L","4-H"
"47",47,16,16.8,"1-H","2-H","3-H","4-L"
"48",48,16,16.8,"1-H","2-H","3-H","4-H"
"49",49,16,17.2,"1-L","2-L","3-L","4-L"
"50",50,16,17.2,"1-L","2-L","3-L","4-H"
"51",51,16,17.2,"1-L","2-L","3-H","4-L"
"52",52,16,17.2,"1-L","2-L","3-H","4-H"
"53",53,16,17.2,"1-L","2-H","3-L","4-L"
"54",54,16,17.2,"1-L","2-H","3-L","4-H"
"55",55,16,17.2,"1-L","2-H","3-H","4-L"
"56",56,16,17.2,"1-L","2-H","3-H","4-H"
"57",57,16,17.2,"1-H","2-L","3-L","4-L"
"58",58,16,17.2,"1-H","2-L","3-L","4-H"
"59",59,16,17.2,"1-H","2-L","3-H","4-L"
"60",60,16,17.2,"1-H","2-L","3-H","4-H"
"61",61,16,17.2,"1-H","2-H","3-L","4-L"
"62",62,16,17.2,"1-H","2-H","3-L","4-H"
"63",63,16,17.2,"1-H","2-H","3-H","4-L"
"64",64,16,17.2,"1-H","2-H","3-H","4-H"
"65",65,16,17.6,"1-L","2-L","3-L","4-L"
"66",66,16,17.6,"1-L","2-L","3-L","4-H"
"67",67,16,17.6,"1-L","2-L","3-H","4-L"
"68",68,16,17.6,"1-L","2-L","3-H","4-H"
"69",69,16,17.6,"1-L","2-H","3-L","4-L"
"70",70,16,17.6,"1-L","2-H","3-L","4-H"
"71",71,16,17.6,"1-L","2-H","3-H","4-L"
"72",72,16,17.6,"1-L","2-H","3-H","4-H"
"73",73,16,17.6,"1-H","2-L","3-L","4-L"
"74",74,16,17.6,"1-H","2-L","3-L","4-H"
"75",75,16,17.6,"1-H","2-L","3-H","4-L"
"76",76,16,17.6,"1-H","2-L","3-H","4-H"
"77",77,16,17.6,"1-H","2-H","3-L","4-L"
"78",78,16,17.6,"1-H","2-H","3-L","4-H"
"79",79,16,17.6,"1-H","2-H","3-H","4-L"
"80",80,16,17.6,"1-H","2-H","3-H","4-H"
"81",81,16,18,"1-L","2-L","3-L","4-L"
"82",82,16,18,"1-L","2-L","3-L","4-H"
"83",83,16,18,"1-L","2-L","3-H","4-L"
"84",84,16,18,"1-L","2-L","3-H","4-H"
"85",85,16,18,"1-L","2-H","3-L","4-L"
"86",86,16,18,"1-L","2-H","3-L","4-H"
"87",87,16,18,"1-L","2-H","3-H","4-L"
"88",88,16,18,"1-L","2-H","3-H","4-H"
"89",89,16,18,"1-H","2-L","3-L","4-L"
"90",90,16,18,"1-H","2-L","3-L","4-H"
"91",91,16,18,"1-H","2-L","3-H","4-L"
"92",92,16,18,"1-H","2-L","3-H","4-H"
"93",93,16,18,"1-H","2-H","3-L","4-L"
"94",94,16,18,"1-H","2-H","3-L","4-H"
"95",95,16,18,"1-H","2-H","3-H","4-L"
"96",96,16,18,"1-H","2-H","3-H","4-H"
"97",97,16.4,16,"1-L","2-L","3-L","4-L"
"98",98,16.4,16,"1-L","2-L","3-L","4-H"
"99",99,16.4,16,"1-L","2-L","3-H","4-L"
"100",100,16.4,16,"1-L","2-L","3-H","4-H"
"101",101,16.4,16,"1-L","2-H","3-L","4-L"
"102",102,16.4,16,"1-L","2-H","3-L","4-H"
"103",103,16.4,16,"1-L","2-H","3-H","4-L"
"104",104,16.4,16,"1-L","2-H","3-H","4-H"
"105",105,16.4,16,"1-H","2-L","3-L","4-L"
"106",106,16.4,16,"1-H","2-L","3-L","4-H"
"107",107,16.4,16,"1-H","2-L","3-H","4-L"
"108",108,16.4,16,"1-H","2-L","3-H","4-H"
"109",109,16.4,16,"1-H","2-H","3-L","4-L"
"110",110,16.4,16,"1-H","2-H","3-L","4-H"
"111",111,16.4,16,"1-H","2-H","3-H","4-L"
"112",112,16.4,16,"1-H","2-H","3-H","4-H"
"113",113,16.4,16.4,"1-L","2-L","3-L","4-L"
"114",114,16.4,16.4,"1-L","2-L","3-L","4-H"
"115",115,16.4,16.4,"1-L","2-L","3-H","4-L"
"116",116,16.4,16.4,"1-L","2-L","3-H","4-H"
"117",117,16.4,16.4,"1-L","2-H","3-L","4-L"
"118",118,16.4,16.4,"1-L","2-H","3-L","4-H"
"119",119,16.4,16.4,"1-L","2-H","3-H","4-L"
"120",120,16.4,16.4,"1-L","2-H","3-H","4-H"
"121",121,16.4,16.4,"1-H","2-L","3-L","4-L"
"122",122,16.4,16.4,"1-H","2-L","3-L","4-H"
"123",123,16.4,16.4,"1-H","2-L","3-H","4-L"
"124",124,16.4,16.4,"1-H","2-L","3-H","4-H"
"125",125,16.4,16.4,"1-H","2-H","3-L","4-L"
"126",126,16.4,16.4,"1-H","2-H","3-L","4-H"
"127",127,16.4,16.4,"1-H","2-H","3-H","4-L"
"128",128,16.4,16.4,"1-H","2-H","3-H","4-H"
"129",129,16.4,16.8,"1-L","2-L","3-L","4-L"
"130",130,16.4,16.8,"1-L","2-L","3-L","4-H"
"131",131,16.4,16.8,"1-L","2-L","3-H","4-L"
"132",132,16.4,16.8,"1-L","2-L","3-H","4-H"
"133",133,16.4,16.8,"1-L","2-H","3-L","4-L"
"134",134,16.4,16.8,"1-L","2-H","3-L","4-H"
"135",135,16.4,16.8,"1-L","2-H","3-H","4-L"
"136",136,16.4,16.8,"1-L","2-H","3-H","4-H"
"137",137,16.4,16.8,"1-H","2-L","3-L","4-L"
"138",138,16.4,16.8,"1-H","2-L","3-L","4-H"
"139",139,16.4,16.8,"1-H","2-L","3-H","4-L"
"140",140,16.4,16.8,"1-H","2-L","3-H","4-H"
"141",141,16.4,16.8,"1-H","2-H","3-L","4-L"
"142",142,16.4,16.8,"1-H","2-H","3-L","4-H"
"143",143,16.4,16.8,"1-H","2-H","3-H","4-L"
"144",144,16.4,16.8,"1-H","2-H","3-H","4-H"
"145",145,16.4,17.2,"1-L","2-L","3-L","4-L"
"146",146,16.4,17.2,"1-L","2-L","3-L","4-H"
"147",147,16.4,17.2,"1-L","2-L","3-H","4-L"
"148",148,16.4,17.2,"1-L","2-L","3-H","4-H"
"149",149,16.4,17.2,"1-L","2-H","3-L","4-L"
"150",150,16.4,17.2,"1-L","2-H","3-L","4-H"
"151",151,16.4,17.2,"1-L","2-H","3-H","4-L"
"152",152,16.4,17.2,"1-L","2-H","3-H","4-H"
"153",153,16.4,17.2,"1-H","2-L","3-L","4-L"
"154",154,16.4,17.2,"1-H","2-L","3-L","4-H"
"155",155,16.4,17.2,"1-H","2-L","3-H","4-L"
"156",156,16.4,17.2,"1-H","2-L","3-H","4-H"
"157",157,16.4,17.2,"1-H","2-H","3-L","4-L"
"158",158,16.4,17.2,"1-H","2-H","3-L","4-H"
"159",159,16.4,17.2,"1-H","2-H","3-H","4-L"
"160",160,16.4,17.2,"1-H","2-H","3-H","4-H"
"161",161,16.4,17.6,"1-L","2-L","3-L","4-L"
"162",162,16.4,17.6,"1-L","2-L","3-L","4-H"
"163",163,16.4,17.6,"1-L","2-L","3-H","4-L"
"164",164,16.4,17.6,"1-L","2-L","3-H","4-H"
"165",165,16.4,17.6,"1-L","2-H","3-L","4-L"
"166",166,16.4,17.6,"1-L","2-H","3-L","4-H"
"167",167,16.4,17.6,"1-L","2-H","3-H","4-L"
"168",168,16.4,17.6,"1-L","2-H","3-H","4-H"
"169",169,16.4,17.6,"1-H","2-L","3-L","4-L"
"170",170,16.4,17.6,"1-H","2-L","3-L","4-H"
"171",171,16.4,17.6,"1-H","2-L","3-H","4-L"
"172",172,16.4,17.6,"1-H","2-L","3-H","4-H"
"173",173,16.4,17.6,"1-H","2-H","3-L","4-L"
"174",174,16.4,17.6,"1-H","2-H","3-L","4-H"
"175",175,16.4,17.6,"1-H","2-H","3-H","4-L"
"176",176,16.4,17.6,"1-H","2-H","3-H","4-H"
"177",177,16.4,18,"1-L","2-L","3-L","4-L"
"178",178,16.4,18,"1-L","2-L","3-L","4-H"
"179",179,16.4,18,"1-L","2-L","3-H","4-L"
"180",180,16.4,18,"1-L","2-L","3-H","4-H"
"181",181,16.4,18,"1-L","2-H","3-L","4-L"
"182",182,16.4,18,"1-L","2-H","3-L","4-H"
"183",183,16.4,18,"1-L","2-H","3-H","4-L"
"184",184,16.4,18,"1-L","2-H","3-H","4-H"
"185",185,16.4,18,"1-H","2-L","3-L","4-L"
"186",186,16.4,18,"1-H","2-L","3-L","4-H"
"187",187,16.4,18,"1-H","2-L","3-H","4-L"
"188",188,16.4,18,"1-H","2-L","3-H","4-H"
"189",189,16.4,18,"1-H","2-H","3-L","4-L"
"190",190,16.4,18,"1-H","2-H","3-L","4-H"
"191",191,16.4,18,"1-H","2-H","3-H","4-L"
"192",192,16.4,18,"1-H","2-H","3-H","4-H"
"193",193,16.8,16,"1-L","2-L","3-L","4-L"
"194",194,16.8,16,"1-L","2-L","3-L","4-H"
"195",195,16.8,16,"1-L","2-L","3-H","4-L"
"196",196,16.8,16,"1-L","2-L","3-H","4-H"
"197",197,16.8,16,"1-L","2-H","3-L","4-L"
"198",198,16.8,16,"1-L","2-H","3-L","4-H"
"199",199,16.8,16,"1-L","2-H","3-H","4-L"
"200",200,16.8,16,"1-L","2-H","3-H","4-H"
"201",201,16.8,16,"1-H","2-L","3-L","4-L"
"202",202,16.8,16,"1-H","2-L","3-L","4-H"
"203",203,16.8,16,"1-H","2-L","3-H","4-L"
"204",204,16.8,16,"1-H","2-L","3-H","4-H"
"205",205,16.8,16,"1-H","2-H","3-L","4-L"
"206",206,16.8,16,"1-H","2-H","3-L","4-H"
"207",207,16.8,16,"1-H","2-H","3-H","4-L"
"208",208,16.8,16,"1-H","2-H","3-H","4-H"
"209",209,16.8,16.4,"1-L","2-L","3-L","4-L"
"210",210,16.8,16.4,"1-L","2-L","3-L","4-H"
"211",211,16.8,16.4,"1-L","2-L","3-H","4-L"
"212",212,16.8,16.4,"1-L","2-L","3-H","4-H"
"213",213,16.8,16.4,"1-L","2-H","3-L","4-L"
"214",214,16.8,16.4,"1-L","2-H","3-L","4-H"
"215",215,16.8,16.4,"1-L","2-H","3-H","4-L"
"216",216,16.8,16.4,"1-L","2-H","3-H","4-H"
"217",217,16.8,16.4,"1-H","2-L","3-L","4-L"
"218",218,16.8,16.4,"1-H","2-L","3-L","4-H"
"219",219,16.8,16.4,"1-H","2-L","3-H","4-L"
"220",220,16.8,16.4,"1-H","2-L","3-H","4-H"
"221",221,16.8,16.4,"1-H","2-H","3-L","4-L"
"222",222,16.8,16.4,"1-H","2-H","3-L","4-H"
"223",223,16.8,16.4,"1-H","2-H","3-H","4-L"
"224",224,16.8,16.4,"1-H","2-H","3-H","4-H"
"225",225,16.8,16.8,"1-L","2-L","3-L","4-L"
"226",226,16.8,16.8,"1-L","2-L","3-L","4-H"
"227",227,16.8,16.8,"1-L","2-L","3-H","4-L"
"228",228,16.8,16.8,"1-L","2-L","3-H","4-H"
"229",229,16.8,16.8,"1-L","2-H","3-L","4-L"
"230",230,16.8,16.8,"1-L","2-H","3-L","4-H"
"231",231,16.8,16.8,"1-L","2-H","3-H","4-L"
"232",232,16.8,16.8,"1-L","2-H","3-H","4-H"
"233",233,16.8,16.8,"1-H","2-L","3-L","4-L"
"234",234,16.8,16.8,"1-H","2-L","3-L","4-H"
"235",235,16.8,16.8,"1-H","2-L","3-H","4-L"
"236",236,16.8,16.8,"1-H","2-L","3-H","4-H"
"237",237,16.8,16.8,"1-H","2-H","3-L","4-L"
"238",238,16.8,16.8,"1-H","2-H","3-L","4-H"
"239",239,16.8,16.8,"1-H","2-H","3-H","4-L"
"240",240,16.8,16.8,"1-H","2-H","3-H","4-H"
"241",241,16.8,17.2,"1-L","2-L","3-L","4-L"
"242",242,16.8,17.2,"1-L","2-L","3-L","4-H"
"243",243,16.8,17.2,"1-L","2-L","3-H","4-L"
"244",244,16.8,17.2,"1-L","2-L","3-H","4-H"
"245",245,16.8,17.2,"1-L","2-H","3-L","4-L"
"246",246,16.8,17.2,"1-L","2-H","3-L","4-H"
"247",247,16.8,17.2,"1-L","2-H","3-H","4-L"
"248",248,16.8,17.2,"1-L","2-H","3-H","4-H"
"249",249,16.8,17.2,"1-H","2-L","3-L","4-L"
"250",250,16.8,17.2,"1-H","2-L","3-L","4-H"
"251",251,16.8,17.2,"1-H","2-L","3-H","4-L"
"252",252,16.8,17.2,"1-H","2-L","3-H","4-H"
"253",253,16.8,17.2,"1-H","2-H","3-L","4-L"
"254",254,16.8,17.2,"1-H","2-H","3-L","4-H"
"255",255,16.8,17.2,"1-H","2-H","3-H","4-L"
"256",256,16.8,17.2,"1-H","2-H","3-H","4-H"
"257",257,16.8,17.6,"1-L","2-L","3-L","4-L"
"258",258,16.8,17.6,"1-L","2-L","3-L","4-H"
"259",259,16.8,17.6,"1-L","2-L","3-H","4-L"
"260",260,16.8,17.6,"1-L","2-L","3-H","4-H"
"261",261,16.8,17.6,"1-L","2-H","3-L","4-L"
"262",262,16.8,17.6,"1-L","2-H","3-L","4-H"
"263",263,16.8,17.6,"1-L","2-H","3-H","4-L"
"264",264,16.8,17.6,"1-L","2-H","3-H","4-H"
"265",265,16.8,17.6,"1-H","2-L","3-L","4-L"
"266",266,16.8,17.6,"1-H","2-L","3-L","4-H"
"267",267,16.8,17.6,"1-H","2-L","3-H","4-L"
"268",268,16.8,17.6,"1-H","2-L","3-H","4-H"
"269",269,16.8,17.6,"1-H","2-H","3-L","4-L"
"270",270,16.8,17.6,"1-H","2-H","3-L","4-H"
"271",271,16.8,17.6,"1-H","2-H","3-H","4-L"
"272",272,16.8,17.6,"1-H","2-H","3-H","4-H"
"273",273,16.8,18,"1-L","2-L","3-L","4-L"
"274",274,16.8,18,"1-L","2-L","3-L","4-H"
"275",275,16.8,18,"1-L","2-L","3-H","4-L"
"276",276,16.8,18,"1-L","2-L","3-H","4-H"
"277",277,16.8,18,"1-L","2-H","3-L","4-L"
"278",278,16.8,18,"1-L","2-H","3-L","4-H"
"279",279,16.8,18,"1-L","2-H","3-H","4-L"
"280",280,16.8,18,"1-L","2-H","3-H","4-H"
"281",281,16.8,18,"1-H","2-L","3-L","4-L"
"282",282,16.8,18,"1-H","2-L","3-L","4-H"
"283",283,16.8,18,"1-H","2-L","3-H","4-L"
"284",284,16.8,18,"1-H","2-L","3-H","4-H"
"285",285,16.8,18,"1-H","2-H","3-L","4-L"
"286",286,16.8,18,"1-H","2-H","3-L","4-H"
"287",287,16.8,18,"1-H","2-H","3-H","4-L"
"288",288,16.8,18,"1-H","2-H","3-H","4-H"
"289",289,17.2,16,"1-L","2-L","3-L","4-L"
"290",290,17.2,16,"1-L","2-L","3-L","4-H"
"291",291,17.2,16,"1-L","2-L","3-H","4-L"
"292",292,17.2,16,"1-L","2-L","3-H","4-H"
"293",293,17.2,16,"1-L","2-H","3-L","4-L"
"294",294,17.2,16,"1-L","2-H","3-L","4-H"
"295",295,17.2,16,"1-L","2-H","3-H","4-L"
"296",296,17.2,16,"1-L","2-H","3-H","4-H"
"297",297,17.2,16,"1-H","2-L","3-L","4-L"
"298",298,17.2,16,"1-H","2-L","3-L","4-H"
"299",299,17.2,16,"1-H","2-L","3-H","4-L"
"300",300,17.2,16,"1-H","2-L","3-H","4-H"
"301",301,17.2,16,"1-H","2-H","3-L","4-L"
"302",302,17.2,16,"1-H","2-H","3-L","4-H"
"303",303,17.2,16,"1-H","2-H","3-H","4-L"
"304",304,17.2,16,"1-H","2-H","3-H","4-H"
"305",305,17.2,16.4,"1-L","2-L","3-L","4-L"
"306",306,17.2,16.4,"1-L","2-L","3-L","4-H"
"307",307,17.2,16.4,"1-L","2-L","3-H","4-L"
"308",308,17.2,16.4,"1-L","2-L","3-H","4-H"
"309",309,17.2,16.4,"1-L","2-H","3-L","4-L"
"310",310,17.2,16.4,"1-L","2-H","3-L","4-H"
"311",311,17.2,16.4,"1-L","2-H","3-H","4-L"
"312",312,17.2,16.4,"1-L","2-H","3-H","4-H"
"313",313,17.2,16.4,"1-H","2-L","3-L","4-L"
"314",314,17.2,16.4,"1-H","2-L","3-L","4-H"
"315",315,17.2,16.4,"1-H","2-L","3-H","4-L"
"316",316,17.2,16.4,"1-H","2-L","3-H","4-H"
"317",317,17.2,16.4,"1-H","2-H","3-L","4-L"
"318",318,17.2,16.4,"1-H","2-H","3-L","4-H"
"319",319,17.2,16.4,"1-H","2-H","3-H","4-L"
"320",320,17.2,16.4,"1-H","2-H","3-H","4-H"
"321",321,17.2,16.8,"1-L","2-L","3-L","4-L"
"322",322,17.2,16.8,"1-L","2-L","3-L","4-H"
"323",323,17.2,16.8,"1-L","2-L","3-H","4-L"
"324",324,17.2,16.8,"1-L","2-L","3-H","4-H"
"325",325,17.2,16.8,"1-L","2-H","3-L","4-L"
"326",326,17.2,16.8,"1-L","2-H","3-L","4-H"
"327",327,17.2,16.8,"1-L","2-H","3-H","4-L"
"328",328,17.2,16.8,"1-L","2-H","3-H","4-H"
"329",329,17.2,16.8,"1-H","2-L","3-L","4-L"
"330",330,17.2,16.8,"1-H","2-L","3-L","4-H"
"331",331,17.2,16.8,"1-H","2-L","3-H","4-L"
"332",332,17.2,16.8,"1-H","2-L","3-H","4-H"
"333",333,17.2,16.8,"1-H","2-H","3-L","4-L"
"334",334,17.2,16.8,"1-H","2-H","3-L","4-H"
"335",335,17.2,16.8,"1-H","2-H","3-H","4-L"
"336",336,17.2,16.8,"1-H","2-H","3-H","4-H"
"337",337,17.2,17.2,"1-L","2-L","3-L","4-L"
"338",338,17.2,17.2,"1-L","2-L","3-L","4-H"
"339",339,17.2,17.2,"1-L","2-L","3-H","4-L"
"340",340,17.2,17.2,"1-L","2-L","3-H","4-H"
"341",341,17.2,17.2,"1-L","2-H","3-L","4-L"
"342",342,17.2,17.2,"1-L","2-H","3-L","4-H"
"343",343,17.2,17.2,"1-L","2-H","3-H","4-L"
"344",344,17.2,17.2,"1-L","2-H","3-H","4-H"
"345",345,17.2,17.2,"1-H","2-L","3-L","4-L"
"346",346,17.2,17.2,"1-H","2-L","3-L","4-H"
"347",347,17.2,17.2,"1-H","2-L","3-H","4-L"
"348",348,17.2,17.2,"1-H","2-L","3-H","4-H"
"349",349,17.2,17.2,"1-H","2-H","3-L","4-L"
"350",350,17.2,17.2,"1-H","2-H","3-L","4-H"
"351",351,17.2,17.2,"1-H","2-H","3-H","4-L"
"352",352,17.2,17.2,"1-H","2-H","3-H","4-H"
"353",353,17.2,17.6,"1-L","2-L","3-L","4-L"
"354",354,17.2,17.6,"1-L","2-L","3-L","4-H"
"355",355,17.2,17.6,"1-L","2-L","3-H","4-L"
"356",356,17.2,17.6,"1-L","2-L","3-H","4-H"
"357",357,17.2,17.6,"1-L","2-H","3-L","4-L"
"358",358,17.2,17.6,"1-L","2-H","3-L","4-H"
"359",359,17.2,17.6,"1-L","2-H","3-H","4-L"
"360",360,17.2,17.6,"1-L","2-H","3-H","4-H"
"361",361,17.2,17.6,"1-H","2-L","3-L","4-L"
"362",362,17.2,17.6,"1-H","2-L","3-L","4-H"
"363",363,17.2,17.6,"1-H","2-L","3-H","4-L"
"364",364,17.2,17.6,"1-H","2-L","3-H","4-H"
"365",365,17.2,17.6,"1-H","2-H","3-L","4-L"
"366",366,17.2,17.6,"1-H","2-H","3-L","4-H"
"367",367,17.2,17.6,"1-H","2-H","3-H","4-L"
"368",368,17.2,17.6,"1-H","2-H","3-H","4-H"
"369",369,17.2,18,"1-L","2-L","3-L","4-L"
"370",370,17.2,18,"1-L","2-L","3-L","4-H"
"371",371,17.2,18,"1-L","2-L","3-H","4-L"
"372",372,17.2,18,"1-L","2-L","3-H","4-H"
"373",373,17.2,18,"1-L","2-H","3-L","4-L"
"374",374,17.2,18,"1-L","2-H","3-L","4-H"
"375",375,17.2,18,"1-L","2-H","3-H","4-L"
"376",376,17.2,18,"1-L","2-H","3-H","4-H"
"377",377,17.2,18,"1-H","2-L","3-L","4-L"
"378",378,17.2,18,"1-H","2-L","3-L","4-H"
"379",379,17.2,18,"1-H","2-L","3-H","4-L"
"380",380,17.2,18,"1-H","2-L","3-H","4-H"
"381",381,17.2,18,"1-H","2-H","3-L","4-L"
"382",382,17.2,18,"1-H","2-H","3-L","4-H"
"383",383,17.2,18,"1-H","2-H","3-H","4-L"
"384",384,17.2,18,"1-H","2-H","3-H","4-H"
"385",385,17.6,16,"1-L","2-L","3-L","4-L"
"386",386,17.6,16,"1-L","2-L","3-L","4-H"
"387",387,17.6,16,"1-L","2-L","3-H","4-L"
"388",388,17.6,16,"1-L","2-L","3-H","4-H"
"389",389,17.6,16,"1-L","2-H","3-L","4-L"
"390",390,17.6,16,"1-L","2-H","3-L","4-H"
"391",391,17.6,16,"1-L","2-H","3-H","4-L"
"392",392,17.6,16,"1-L","2-H","3-H","4-H"
"393",393,17.6,16,"1-H","2-L","3-L","4-L"
"394",394,17.6,16,"1-H","2-L","3-L","4-H"
"395",395,17.6,16,"1-H","2-L","3-H","4-L"
"396",396,17.6,16,"1-H","2-L","3-H","4-H"
"397",397,17.6,16,"1-H","2-H","3-L","4-L"
"398",398,17.6,16,"1-H","2-H","3-L","4-H"
"399",399,17.6,16,"1-H","2-H","3-H","4-L"
"400",400,17.6,16,"1-H","2-H","3-H","4-H"
"401",401,17.6,16.4,"1-L","2-L","3-L","4-L"
"402",402,17.6,16.4,"1-L","2-L","3-L","4-H"
"403",403,17.6,16.4,"1-L","2-L","3-H","4-L"
"404",404,17.6,16.4,"1-L","2-L","3-H","4-H"
"405",405,17.6,16.4,"1-L","2-H","3-L","4-L"
"406",406,17.6,16.4,"1-L","2-H","3-L","4-H"
"407",407,17.6,16.4,"1-L","2-H","3-H","4-L"
"408",408,17.6,16.4,"1-L","2-H","3-H","4-H"
"409",409,17.6,16.4,"1-H","2-L","3-L","4-L"
"410",410,17.6,16.4,"1-H","2-L","3-L","4-H"
"411",411,17.6,16.4,"1-H","2-L","3-H","4-L"
"412",412,17.6,16.4,"1-H","2-L","3-H","4-H"
"413",413,17.6,16.4,"1-H","2-H","3-L","4-L"
"414",414,17.6,16.4,"1-H","2-H","3-L","4-H"
"415",415,17.6,16.4,"1-H","2-H","3-H","4-L"
"416",416,17.6,16.4,"1-H","2-H","3-H","4-H"
"417",417,17.6,16.8,"1-L","2-L","3-L","4-L"
"418",418,17.6,16.8,"1-L","2-L","3-L","4-H"
"419",419,17.6,16.8,"1-L","2-L","3-H","4-L"
"420",420,17.6,16.8,"1-L","2-L","3-H","4-H"
"421",421,17.6,16.8,"1-L","2-H","3-L","4-L"
"422",422,17.6,16.8,"1-L","2-H","3-L","4-H"
"423",423,17.6,16.8,"1-L","2-H","3-H","4-L"
"424",424,17.6,16.8,"1-L","2-H","3-H","4-H"
"425",425,17.6,16.8,"1-H","2-L","3-L","4-L"
"426",426,17.6,16.8,"1-H","2-L","3-L","4-H"
"427",427,17.6,16.8,"1-H","2-L","3-H","4-L"
"428",428,17.6,16.8,"1-H","2-L","3-H","4-H"
"429",429,17.6,16.8,"1-H","2-H","3-L","4-L"
"430",430,17.6,16.8,"1-H","2-H","3-L","4-H"
"431",431,17.6,16.8,"1-H","2-H","3-H","4-L"
"432",432,17.6,16.8,"1-H","2-H","3-H","4-H"
"433",433,17.6,17.2,"1-L","2-L","3-L","4-L"
"434",434,17.6,17.2,"1-L","2-L","3-L","4-H"
"435",435,17.6,17.2,"1-L","2-L","3-H","4-L"
"436",436,17.6,17.2,"1-L","2-L","3-H","4-H"
"437",437,17.6,17.2,"1-L","2-H","3-L","4-L"
"438",438,17.6,17.2,"1-L","2-H","3-L","4-H"
"439",439,17.6,17.2,"1-L","2-H","3-H","4-L"
"440",440,17.6,17.2,"1-L","2-H","3-H","4-H"
"441",441,17.6,17.2,"1-H","2-L","3-L","4-L"
"442",442,17.6,17.2,"1-H","2-L","3-L","4-H"
"443",443,17.6,17.2,"1-H","2-L","3-H","4-L"
"444",444,17.6,17.2,"1-H","2-L","3-H","4-H"
"445",445,17.6,17.2,"1-H","2-H","3-L","4-L"
"446",446,17.6,17.2,"1-H","2-H","3-L","4-H"
"447",447,17.6,17.2,"1-H","2-H","3-H","4-L"
"448",448,17.6,17.2,"1-H","2-H","3-H","4-H"
"449",449,17.6,17.6,"1-L","2-L","3-L","4-L"
"450",450,17.6,17.6,"1-L","2-L","3-L","4-H"
"451",451,17.6,17.6,"1-L","2-L","3-H","4-L"
"452",452,17.6,17.6,"1-L","2-L","3-H","4-H"
"453",453,17.6,17.6,"1-L","2-H","3-L","4-L"
"454",454,17.6,17.6,"1-L","2-H","3-L","4-H"
"455",455,17.6,17.6,"1-L","2-H","3-H","4-L"
"456",456,17.6,17.6,"1-L","2-H","3-H","4-H"
"457",457,17.6,17.6,"1-H","2-L","3-L","4-L"
"458",458,17.6,17.6,"1-H","2-L","3-L","4-H"
"459",459,17.6,17.6,"1-H","2-L","3-H","4-L"
"460",460,17.6,17.6,"1-H","2-L","3-H","4-H"
"461",461,17.6,17.6,"1-H","2-H","3-L","4-L"
"462",462,17.6,17.6,"1-H","2-H","3-L","4-H"
"463",463,17.6,17.6,"1-H","2-H","3-H","4-L"
